"","year","number","day","month","duration","frame","place","region","goal","form","part","noorg","smorl","psmorl","smon","psmon","union","church","sdp","cp","green","centmodr","right","establ","left","reaction","arrested","wounded","instit","ac","ic","numberac","city","numberic","multeven","c","smo1","smo2","smo3","country","sform","nsm","sgoal","part2","union2","church2","sdp2","left2","centmod2","cp2","green2","establ2","fascrac","cmfinal","sform2","partpm"
"11",75,11,3,2,1,"international","large city",145,"f0r spezifische poli","manifestation, march",1500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,146,1401,1,75011,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",1500,0,0,0,0,0,0,0,0,0,0,"demonstrative",106.382978723405
"12",75,12,3,2,1,"international","large city",145,"gegen Atomwaffen","manifestation, march",500,0,0,0,0,0,"no","no",1,1,0,0,0,0,1,60,0,0,"no","yes, other event","yes",1101,146,1101,1,75012,NA,NA,NA,"netherlands","demonstrative",1,"anti-nuclear arms",500,0,0,1,1,0,1,0,0,0,0,"demonstrative",35.4609929078022
"13",75,13,10,2,1,"regional","small town or countr",180,"gegen milit0rische I","manifestation, march",1800,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,182,1102,1,75013,NA,NA,NA,"netherlands","demonstrative",1,"other peace movement",1800,0,0,0,0,0,0,0,0,0,0,"demonstrative",127.659574468086
"14",75,14,17,2,1,"local","large city",110,"anderes Autonomenbew","manifestation, march",3000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75014,NA,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",3000,0,0,0,0,0,0,0,0,0,0,"demonstrative",212.765957446808
"15",75,15,17,2,1,"international","large city",110,"andere Gegenmobilisi","attentat, incendie c",3,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,41,3,0,NA,NA,NA,NA,111,NA,1,75015,NA,NA,NA,"netherlands","heavy violence",0,"coutermobilization",3,0,0,0,0,0,0,0,0,0,1,"heavy violence",0.212765957446809
"16",75,16,17,2,1,"international","large city",165,"Arbeitslosigkeit, En","manifestation, march",50,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,166,NA,1,75016,NA,NA,NA,"netherlands","demonstrative",0,"labor movement",50,0,0,0,0,0,0,0,0,0,0,"demonstrative",3.54609929078017
"17",75,17,24,2,1,"local","large city",110,"anderes Autonomenbew","autres conventionnel",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75017,1256,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"18",75,18,24,2,1,"local","large city",155,"Arbeitslosigkeit, En","manifestation, march",6000,0,0,0,0,0,"yes","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,156,NA,1,75018,NA,NA,NA,"netherlands","demonstrative",0,"labor movement",6000,1,0,0,0,0,0,0,0,0,0,"demonstrative",425.531914893617
"19",75,19,3,3,1,"local","large city",110,"anderes Autonomenbew","r0union protestation",200,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,34,0,0,"no","yes, other event","yes",1201,111,1201,1,75019,1207,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",200,0,0,0,0,0,0,0,0,0,0,"demonstrative",14.1843971631206
"20",75,20,3,3,1,"local","large city",110,"anderes Autonomenbew","manifestation, march",1000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75020,NA,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",1000,0,0,0,0,0,0,0,0,0,0,"demonstrative",70.9219858156028
"21",75,22,17,3,1,"local","large city",110,"anderes Autonomenbew","formation SMO",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75022,1235,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"22",75,23,17,3,1,"local","large city",110,"anderes Autonomenbew","boycottage",NA,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75023,1207,NA,NA,"netherlands","confrontative",1,"other autonomous mov",50,0,0,0,0,0,0,0,0,0,0,"confrontative",3.54609929078017
"23",75,25,24,3,1,"local","large city",110,"anderes Autonomenbew","blocus ou autres for",500,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75025,1207,NA,NA,"netherlands","confrontative",1,"other autonomous mov",500,0,0,0,0,0,0,0,0,0,0,"confrontative",35.4609929078022
"24",75,26,24,3,1,"local","large city",110,"anderes Autonomenbew","manifestation ill0ga",2000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,44,15,50,"no","yes, other event","yes",1201,111,1201,1,75026,NA,NA,NA,"netherlands","confrontative",1,"other autonomous mov",2000,0,0,0,0,0,0,0,0,0,0,"confrontative",141.843971631206
"25",75,27,24,3,1,"local","large city",110,"anderes Autonomenbew","blocus ou autres for",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,43,0,0,"no","yes, other event","yes",1201,111,1201,1,75027,NA,NA,NA,"netherlands","confrontative",1,"other autonomous mov",500,0,0,0,0,0,0,0,0,0,0,"confrontative",35.4609929078022
"26",75,28,24,3,1,"local","large city",110,"anderes Autonomenbew","manifestation avec v",100,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,44,0,3,"no","yes, other event","yes",1201,111,1201,1,75028,NA,NA,NA,"netherlands","light violence",1,"other autonomous mov",100,0,0,0,0,0,0,0,0,0,0,"light violence",7.09219858156028
"27",75,29,24,3,1,"local","large city",110,"anderes Autonomenbew","publicit0 m0dias",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75029,1207,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"28",75,30,24,3,1,"local","large city",110,"anderes Autonomenbew","publicit0 m0dias",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75030,NA,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"29",75,31,10,3,1,"national",NA,NA,"Arbeitszeitverk0rzun","manifestation, march",500,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75031,1105,NA,NA,"netherlands","demonstrative",0,"labor movement",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"30",75,32,24,3,1,NA,NA,155,"Universit0ten, Stude","manifestation, march",6000,0,0,0,0,1,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,156,NA,1,75032,NA,NA,NA,"netherlands","demonstrative",0,"student movement",6000,0,0,0,0,0,0,0,0,0,0,"demonstrative",425.531914893617
"31",75,33,1,4,1,"local","large city",110,"anderes Autonomenbew","manifestation, march",2500,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75033,1207,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",2500,0,0,0,0,0,0,0,0,0,0,"demonstrative",177.304964539008
"32",75,34,7,4,1,"local","large city",120,"Wohnen","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,12,0,0,NA,NA,NA,NA,122,NA,1,75034,NA,NA,NA,"netherlands","demonstrative",0,"other left",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"33",75,35,14,4,1,"local","large city",110,"anderes Autonomenbew","publicit0 m0dias",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75035,1207,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"34",75,36,14,4,1,"international","large city",110,"f0r spezifische poli","manifestation, march",1000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1401,1,75036,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",1000,0,0,0,0,0,0,0,0,0,0,"demonstrative",70.9219858156028
"35",75,37,21,4,1,"local","large city",110,"anderes Autonomenbew","publicit0 m0dias",1,0,0,1,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1201,111,1201,1,75037,1245,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"36",75,38,28,4,1,"international",NA,NA,"anderes Solidarit0ts","publicit0 m0dias",1,0,0,0,1,1,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75038,1420,NA,NA,"netherlands","conventional",1,"other solidarity mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"37",75,39,28,4,5,"international","large city",110,"anderes Solidarit0ts","organisation tribuna",111,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1401,1,75039,NA,NA,NA,"netherlands","conventional",1,"other solidarity mov",111,0,0,0,0,0,0,0,0,0,0,"conventional",7.87234042553193
"38",75,40,5,5,1,"local","large city",155,"f0r autonomen Wohnra","occupation lieux",150,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,42,25,1,"no","no","no",NA,156,NA,1,75040,1513,NA,NA,"netherlands","confrontative",1,"squatters, youth cen",150,0,0,0,0,0,0,0,0,0,0,"confrontative",10.6382978723404
"39",75,41,5,5,1,"local","large city",120,"anderes Autonomenbew","manifestation, march",50,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,15,0,0,"no","no","no",NA,122,NA,1,75041,NA,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",50,0,0,0,0,0,0,0,0,0,0,"demonstrative",3.54609929078017
"40",75,42,5,5,1,"regional","large city",120,"gegen Bau Verkehrsin","publicit0 m0dias",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,121,1202,1,75042,1226,NA,NA,"netherlands","conventional",1,"ecology movement",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"41",75,43,12,5,1,"international","large city",155,"andere Bildungsfrage","manifestation, march",500,0,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,156,NA,1,75043,NA,NA,NA,"netherlands","demonstrative",0,"education",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"42",75,44,26,5,1,"regional","small town or countr",110,"Natur- und Landschaf","publicit0 m0dias",1,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,NA,NA,1,75044,1203,NA,NA,"netherlands","conventional",1,"ecology movement",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"43",75,45,26,5,1,"local",NA,110,"anderes Autonomenbew","autres actions symbo",50,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,111,NA,1,75045,NA,NA,NA,"netherlands","demonstrative",1,"other autonomous mov",50,0,0,0,0,0,0,0,0,0,0,"demonstrative",3.54609929078017
"44",75,46,16,6,1,"national","large city",120,"Bauernmobilisierung","manifestation, march",1000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,121,NA,1,75046,1202,NA,NA,"netherlands","demonstrative",0,"farmers",1000,0,0,0,1,0,0,0,0,0,0,"demonstrative",70.9219858156028
"45",75,48,3,6,1,"national","large city",110,"f0r autonomen Wohnra","occupation lieux",100,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,111,NA,1,75048,NA,NA,NA,"netherlands","confrontative",1,"squatters, youth cen",100,0,0,0,0,0,0,0,0,0,0,"confrontative",7.09219858156028
"46",75,49,23,6,1,"international","large city",110,"f0r Menschenrechte ""","manifestation, march",150,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1401,111,1402,1,75049,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",150,0,0,0,0,0,0,0,0,0,0,"demonstrative",10.6382978723404
"47",75,50,29,12,1,"international","medium-sized town",135,"Ausl0ndermoblisierun","r0union protestation",400,0,0,0,0,0,"no","no",0,0,0,0,0,1,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75050,NA,NA,NA,"netherlands","demonstrative",0,"foreigners",400,0,0,0,0,0,0,0,1,0,0,"demonstrative",28.3687943262411
"48",75,51,7,7,1,"international","large city",120,"Schwangerschaftsabbr","manifestation, march",200,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,121,NA,1,75051,NA,NA,NA,"netherlands","demonstrative",1,"women movement",200,0,0,0,0,0,0,0,0,0,0,"demonstrative",14.1843971631206
"49",75,52,9,6,1,"local","large city",110,"f0r alternative Verk","manifestation, march",1500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,111,NA,1,75052,NA,NA,NA,"netherlands","demonstrative",1,"ecology movement",1500,0,0,0,0,0,0,0,0,0,0,"demonstrative",106.382978723405
"50",75,53,23,6,1,"national","large city",110,"gegen Atomenergie","r0union protestation",550,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1203,1,75053,NA,NA,NA,"netherlands","demonstrative",1,"anti-nuclear movemen",550,0,0,0,0,0,0,0,0,0,0,"demonstrative",39.007092198581
"51",75,54,7,7,1,"international","large city",120,"Ausl0ndermoblisierun","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,121,NA,1,75054,NA,NA,NA,"netherlands","demonstrative",0,"foreigners",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"52",75,55,4,8,1,"local","large city",110,"anderes Oekologiebew","publicit0 m0dias",1,0,0,1,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,111,NA,1,75055,1207,NA,NA,"netherlands","conventional",1,"ecology movement",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"53",75,56,4,8,1,"national","small town or countr",110,"Bauernmobilisierung","blocus ou autres for",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75056,NA,NA,NA,"netherlands","confrontative",0,"farmers",500,0,0,0,0,0,0,0,0,0,0,"confrontative",35.4609929078022
"54",75,57,11,8,1,"national","small town or countr",120,"anderes Arbeiterbewe","blocus ou autres for",100,0,0,0,0,0,"yes","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75057,NA,NA,NA,"netherlands","confrontative",0,"labor movement",100,1,0,0,0,0,0,0,0,0,0,"confrontative",7.09219858156028
"55",75,58,18,8,1,"local","large city",110,"anderes","blocus ou autres for",120,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,NA,NA,NA,NA,111,NA,1,75058,NA,NA,NA,"netherlands","confrontative",0,"other goals",120,0,0,0,0,0,0,0,0,0,0,"confrontative",8.51063829787233
"56",75,59,25,8,4,"national",NA,NA,"anderes","blocus ou autres for",800,0,0,0,0,0,"no","no",0,0,0,0,0,1,0,30,0,0,NA,NA,NA,NA,NA,NA,9,75059,NA,NA,NA,"netherlands","confrontative",0,"other goals",800,0,0,0,0,0,0,0,1,0,0,"confrontative",56.7375886524829
"57",75,71,25,8,1,"local","small town or countr",155,"Natur- und Landschaf","manifestation, march",1000,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,"no","no","no",NA,NA,NA,1,75071,NA,NA,NA,"netherlands","demonstrative",1,"ecology movement",1000,0,0,0,0,0,0,0,0,0,0,"demonstrative",70.9219858156028
"58",75,72,1,9,1,"international","large city",110,"f0r Menschenrechte ""","gr0ve faim",25,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,"no","yes, other event","yes",1401,111,1402,1,75072,NA,NA,NA,"netherlands","confrontative",1,"other solidarity mov",25,0,0,0,0,0,0,0,0,0,0,"confrontative",1.77304964539008
"59",75,73,1,9,1,"international",NA,NA,"f0r Menschenrechte ""","publicit0 m0dias",1,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","yes, other event","yes",1401,NA,1402,1,75073,1401,NA,NA,"netherlands","conventional",1,"other solidarity mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"60",75,74,1,9,1,"international","large city",120,"Ausl0ndermoblisierun","manifestation, march",750,0,0,0,0,0,"no","no",0,0,0,0,0,1,0,60,0,0,NA,NA,NA,NA,121,NA,1,75074,NA,NA,NA,"netherlands","demonstrative",0,"foreigners",750,0,0,0,0,0,0,0,1,0,0,"demonstrative",53.1914893617025
"61",75,75,8,9,1,"international","large city",110,"Ausl0ndermoblisierun","gr0ve faim",6,0,0,0,0,1,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,111,NA,1,75075,1415,NA,NA,"netherlands","confrontative",0,"foreigners",6,0,0,0,0,0,0,0,0,0,0,"confrontative",0.425531914893617
"62",75,76,8,9,1,"regional","large city",120,"gegen Atomenergie","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,NA,0,"no","no","yes",NA,122,1204,1,75076,NA,NA,NA,"netherlands","demonstrative",1,"anti-nuclear movemen",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"63",75,77,22,9,1,"national","large city",120,"Soziale Sicherheit","manifestation, march",5000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,121,NA,1,75077,NA,NA,NA,"netherlands","demonstrative",0,"labor movement",5000,0,0,0,0,0,0,0,0,0,0,"demonstrative",354.609929078014
"64",75,78,22,9,1,"international",NA,NA,"gegen spezifische po","publicit0 m0dias",1,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,NA,1404,1,75078,1409,NA,NA,"netherlands","conventional",1,"other solidarity mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"65",75,79,29,9,1,"international","large city",155,"f0r Menschenrechte ""","manifestation, march",15000,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,"no","yes, other event","yes",1401,156,1402,1,75079,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",15000,0,0,0,0,0,0,0,0,0,0,"demonstrative",1063.82978723406
"66",75,80,29,9,1,"international","large city",110,"f0r Menschenrechte ""","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1403,1,75080,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"67",75,81,29,9,1,"international","large city",110,"Gegenmobilisierung S","manifestation, march",50,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,111,NA,1,75081,NA,NA,NA,"netherlands","demonstrative",0,"coutermobilization",50,0,0,0,0,0,0,0,0,0,1,"demonstrative",3.54609929078017
"68",75,82,6,10,1,"local","large city",135,"gegen Bau Verkehrsin","manifestation, march",200,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,"no","no","yes",NA,136,1205,1,75082,1258,NA,NA,"netherlands","demonstrative",1,"ecology movement",200,0,0,0,0,0,0,0,0,0,0,"demonstrative",14.1843971631206
"69",75,83,6,10,9,"international","large city",110,"Ausl0ndermobilisieru","gr0ve faim",100,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,12,0,0,NA,NA,NA,NA,111,NA,1,75083,1424,NA,NA,"netherlands","confrontative",0,"foreigners",100,0,0,0,0,0,0,0,0,0,0,"confrontative",7.09219858156028
"70",75,84,6,10,1,"international",NA,NA,"anderes Solidarit0ts","publicit0 m0dias",1,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,NA,1404,1,75084,1409,NA,NA,"netherlands","conventional",1,"other solidarity mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"71",75,85,20,10,7,"local","large city",120,"Universit0ten, Stude","occupation lieux",300,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,14,0,0,NA,NA,NA,NA,121,NA,1,75085,NA,NA,NA,"netherlands","confrontative",0,"student movement",300,0,0,0,0,0,0,0,0,0,0,"confrontative",21.2765957446808
"72",75,86,27,10,1,"local","large city",110,"anderes","occupation lieux",250,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,111,NA,1,75086,NA,NA,NA,"netherlands","confrontative",0,"other goals",250,0,0,0,0,0,0,0,0,0,0,"confrontative",17.7304964539007
"73",75,87,3,11,1,"international","large city",120,"Drogen-, tabak- und","autres actions symbo",1000,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,121,NA,1,75087,NA,NA,NA,"netherlands","demonstrative",0,"other goals",1000,0,0,0,0,0,0,0,0,0,0,"demonstrative",70.9219858156028
"74",75,88,3,11,6,"local","large city",110,"Ausl0ndermobilisieru","occupation lieux",100,0,0,0,1,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,111,NA,1,75088,NA,NA,NA,"netherlands","confrontative",0,"foreigners",100,0,0,0,0,0,0,0,0,0,0,"confrontative",7.09219858156028
"75",75,89,3,11,9,"national","large city",110,"Ausl0ndermobilisieru","gr0ve faim",4,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,10,0,0,NA,NA,NA,NA,111,NA,1,75089,NA,NA,NA,"netherlands","confrontative",0,"foreigners",4,0,0,0,0,0,0,0,0,0,0,"confrontative",0.283687943262411
"76",75,90,10,11,1,"regional","large city",110,"anderes Autonomenbew","publicit0 m0dias",1,0,0,1,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1206,1,75090,NA,NA,NA,"netherlands","conventional",1,"other autonomous mov",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"77",75,91,10,11,1,"national","large city",110,"Ausl0ndermobilisieru","gr0ve faim",100,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,111,NA,1,75091,NA,NA,NA,"netherlands","confrontative",0,"foreigners",100,0,0,0,0,0,0,0,0,0,0,"confrontative",7.09219858156028
"78",75,92,10,11,1,"regional","small town or countr",140,"gegen Umweltverschmu","formation SMO",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,16,0,0,"no","yes, other event","no",1202,NA,NA,1,75092,1263,NA,NA,"netherlands","conventional",1,"ecology movement",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"79",75,93,10,11,1,"regional","small town or countr",140,"gegen Umweltverschmu","information directe",100,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,16,0,0,"no","yes, other event","no",1202,NA,NA,1,75093,NA,NA,NA,"netherlands","conventional",1,"ecology movement",100,0,0,0,0,0,0,0,0,0,0,"conventional",7.09219858156028
"80",75,94,17,11,1,"national","large city",155,"Ausl0ndermobilisieru","gr0ve faim",20,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,156,NA,1,75094,NA,NA,NA,"netherlands","confrontative",0,"foreigners",20,0,0,0,0,0,0,0,0,0,0,"confrontative",1.41843971631205
"81",75,95,17,11,1,"regional","medium-sized town",165,"Arbeitslosigkeit, En","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,NA,NA,1,75095,NA,NA,NA,"netherlands","demonstrative",0,"labor movement",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
